Run  241:1702991800757711
Run  242:1702991800957438
Run  243:1702991801157308
Run  244:1702991801357414
Run  245:1702991801557570
Run  246:1702991801757428
Run  247:1702991801957257
Run  248:1702991802157587
Run  249:1702991802357290
Run  250:1702991802557311
Run  251:1702991802757784
Run  252:1702991802957390
Run  253:1702991803157391
Run  254:1702991803357698
Run  255:1702991803557477
Run  256:1702991803757269
Run  257:1702991803957766
Run  258:1702991804157566
Run  259:1702991804357747
Run  260:1702991804557821
Run  261:1702991804757855
Run  262:1702991804957741
Run  263:1702991805157585
Run  264:1702991805357668
Run  265:1702991805557553
Run  266:1702991805757719
Run  267:1702991805957371
Run  268:1702991806157719
Run  269:1702991806357815
Run  270:1702991806557705
Run  271:1702991806757450
Run  272:1702991806957698
Run  273:1702991807157352
Run  274:1702991807357425
Run  275:1702991807557194
Run  276:1702991807757505
Run  277:1702991807957833
Run  278:1702991808157614
Run  279:1702991808357694
Run  280:1702991808557809
Run  281:1702991808757910
Run  282:1702991808957742
Run  283:1702991809157704
Run  284:1702991809357872
Run  285:1702991809557405
Run  286:1702991809757786
Run  287:1702991809957780
Run  288:1702991810158276
Run  289:1702991810357530
Run  290:1702991810557752
Run  291:1702991810757819
Run  292:1702991810957657
Run  293:1702991811157491
Run  294:1702991811357239
Run  295:1702991811557543
Run  296:1702991811757710
Run  297:1702991811957341
Run  298:1702991812157584
Run  299:1702991812357793
Run  300:1702991812557674
Run  301:1702991812757603
Run  302:1702991812957747
Run  303:1702991813157407
Run  304:1702991813357788
Run  305:1702991813557676
Run  306:1702991813757653
Run  307:1702991813957492
Run  308:1702991814157982
Run  309:1702991814357813
Run  310:1702991814557739
Run  311:1702991814757759
Run  312:1702991814957450
Run  313:1702991815157697
Run  314:1702991815357415
Run  315:1702991815557615
Run  316:1702991815757469
Run  317:1702991815957617
Run  318:1702991816157686
Run  319:1702991816357685
Run  320:1702991816557790
Run  321:1702991816757529
Run  322:1702991816957882
Run  323:1702991817157943
Run  324:1702991817357826
Run  325:1702991817557835
Run  326:1702991817757925
Run  327:1702991817957767
Run  328:1702991818157708
Run  329:1702991818357853
Run  330:1702991818557419
Run  331:1702991818757776
Run  332:1702991818957714
Run  333:1702991819157879
Run  334:1702991819357875
Run  335:1702991819557877
Run  336:1702991819757804
Run  337:1702991819957922
Run  338:1702991820157484
Run  339:1702991820357226
Run  340:1702991820557758
Run  341:1702991820757614
Run  342:1702991820957892
Run  343:1702991821157827
Run  344:1702991821357756
Run  345:1702991821557789
Run  346:1702991821757770
Run  347:1702991821957675
Run  348:1702991822157615
Run  349:1702991822357861
Run  350:1702991822557703
Run  351:1702991822757752
Run  352:1702991822957384
Run  353:1702991823157798
Run  354:1702991823357703
Run  355:1702991823557763
Run  356:1702991823757703
Run  357:1702991823957585
Run  358:1702991824157752
Run  359:1702991824357708
Run  360:1702991824557790
Run  361:1702991824757904
Run  362:1702991824957874
Run  363:1702991825157913
Run  364:1702991825357844
Run  365:1702991825557926
Run  366:1702991825757704
Run  367:1702991825957787
Run  368:1702991826157762
Run  369:1702991826357841
Run  370:1702991826557892
Run  371:1702991826757667
Run  372:1702991826957784
Run  373:1702991827157667
Run  374:1702991827357637
Run  375:1702991827557695
Run  376:1702991827757902
Run  377:1702991827958020
Run  378:1702991828157987
Run  379:1702991828357322
Run  380:1702991828557684
Run  381:1702991828757793
Run  382:1702991828957615
Run  383:1702991829157701
Run  384:1702991829357899
Run  385:1702991829557726
Run  386:1702991829757741
Run  387:1702991829957155
Run  388:1702991830157498
Run  389:1702991830357817
Run  390:1702991830557742
Run  391:1702991830757770
Run  392:1702991830957801
Run  393:1702991831157768
Run  394:1702991831357381
Run  395:1702991831557729
Run  396:1702991831757665
Run  397:1702991831957362
Run  398:1702991832157860
Run  399:1702991832357818
Run  400:1702991832557753
Run  401:1702991832757816
Run  402:1702991832957794
Run  403:1702991833157855
Run  404:1702991833357739
Run  405:1702991833557192
Run  406:1702991833757351
Run  407:1702991833957620
Run  408:1702991834157728
Run  409:1702991834357893
Run  410:1702991834557455
Run  411:1702991834757583
Run  412:1702991834957764
Run  413:1702991835157795
Run  414:1702991835357726
Run  415:1702991835557417
Run  416:1702991835757690
Run  417:1702991835957713
Run  418:1702991836158277
Run  419:1702991836357579
Run  420:1702991836557837
Run  421:1702991836757756
Run  422:1702991836957642
Run  423:1702991837157312
Run  424:1702991837357341
Run  425:1702991837557734
Run  426:1702991837757679
Run  427:1702991837957733
